,Product,Ratings,Reviews
1,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,3.0 out of 5 stars,"Very cute and comfortable headphones, but the sound quality is pretty mediocre."
2,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"I LOVE these headphones!!! I love them so much I bought 2 other pairs for my brothers. They come in fun colors and are easily adjustable to your head. The ear phone parts are a tad bit small, they cover girls ears all the way, but may be a little small on the guy side. Great size for kids !!"
3,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"Purchased these headphones for my daughter. I really like that they used a threaded material cover for the wire it holds up to a lot more of the daily wear and tear. I have gone through a lot of headphones this year for my ten year old daughter and find the Ailihen headphone to be the best one I purchased. Sounds great, durable and rugged and very comfortable."
4,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"I bought this for my 9 year old. Fits comfortably, the item is sturdy not cheap and wonky like most head set. Very happy with design."
5,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"Perfect for my 6 year old. They work with her Kindle, Leap Pad 3, Dvd player etc. Very cute."
6,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,Ordered for my wife for a long plane flight. She said they worked extremely well and had a side benefit of eliminating a lot of the cabin noise. She also loved the color choice.
7,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"Our daughter loves these. I like how adjustable they are.
Definitely a good purchase."
8,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"they are very comfortable and the color is so bright!

perfect"
9,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,4.0 out of 5 stars,"Got them for studying and they work fine, but they're not as comfortable as I would have liked."
0,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"Got these for my daughter for Christmas. She loves them. They seem to plug into any electronics she owns (mp4 player, microphone set, our computer and her tablet). Great sound quality. Color was JUST as pictured, which is what we wanted. She loves these! Great product!"
1,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"Nice sound quality,
Decently priced,
and very fashionable.

Use them every time I leave the house."
2,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,3.0 out of 5 stars,"Too small for adult ear but for kids it is a pretty good size, good that I ordered it for my kid"
3,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,like it
4,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"My kids are 7 and 11 they have to have head phones for school so of course they had to test them out! They sounds great, very comfortable and the cord is what seems like wrapped in cloth which seems to make them more durable, I guess time will tell"
5,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,These are great! I wanted something i could exercise in that werent ear buds (those never stay in my ears) and these work great. I love how they fit snugly on my head without being uncomfortable and the sound quality is pretty great too. The color is fantastic.
