,Comments,Date,Product,Ratings,Reviews,Title
8,Was this review helpful to you?, January 26 2016,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"For the price, these little guys are excellent. I've been using them since the summer with both my laptop and my cell phone and they're still clear as a bell. For those music nerds out there, the stereo quality and bass does leave something to be desired, but what do you want for under $10 ??? I use them for watching tv shows, movies, videos and you tube as well as music at pretty high volumes and they're pretty sensitive. I just love them and am buying a pair for my mom right now. :)",these little guys are excellent. I've been using them since the summer with ...
9,Was this review helpful to you?, September 21 2015,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"Got as replacement for previous model of these ear buds that I've had forever. (I accidentally damaged them) That replaced tiny Panasonic ear buds that i could not find again.

I wish they could make them even smaller so more comfortable to nap with.

This Sony model seems to be pretty much it if you need very small ear buds that are not the in ear kind. I'm seriously considering buying half a dozen in case they discontinue regular earbuds for in ear kind. Don't understand why they are out of fashion. I personally cant stand the in ear kind.",Best small not in-ear buds i could find.
,Comments,Date,Product,Ratings,Reviews,Title
0,Was this review helpful to you?, May 30 2014,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"I bought this when another similar SONY earphones failed and those lasted me about 1 year. Good quality, basic headphones. Obviously you get what you pay for, so don't expect much, but I do think these exceed other headphones in the same price range. I will definitely buy again.","Good quality, decent"
1,One person found this helpful. Was this review helpful to you?, March 2 2015,Sony MDRE9LP/BLK Ear Buds,4.0 out of 5 stars,Nice,Four Stars
2,Was this review helpful to you?, January 28 2016,Sony MDRE9LP/BLK Ear Buds,3.0 out of 5 stars,The earbuds were too big for my ears so they kept falling out and didn't sound good. I tried to return them but was informed by Amazon that they were not eligible for return. Gave them to some friends who seem to be happy with them.,Not for smaller ears
3,2 people found this helpful. Was this review helpful to you?, February 4 2015,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"Good earbuds, comfortable, great sound for a great price!",Five Stars
4,Was this review helpful to you?, October 28 2016,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,These are amazingly sturdy. I'm still using them but ymmv. I'm very happy with this purchase.,Five Stars
5,Was this review helpful to you?, January 2 2014,Sony MDRE9LP/BLK Ear Buds,4.0 out of 5 stars,My son is very picky when it comes to earbuds. He says the sound quality is good and they don't bother his ears when he works out.,Nice Ear Buds
6,Was this review helpful to you?, June 6 2015,Sony MDRE9LP/BLK Ear Buds,3.0 out of 5 stars,good !,Three Stars
7,Was this review helpful to you?, November 20 2016,Sony MDRE9LP/BLK Ear Buds,1.0 out of 5 stars,It's not been a month since I bought these and my right earbud is not working,One Star
8,Was this review helpful to you?, December 20 2014,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"They are a little hard in the ears but no problems
With them other than that. Great product. I've been buying these ear buds for this vendor for quite some time and have never had a problem with so far",Five Stars
9,Was this review helpful to you?, June 4 2013,Sony MDRE9LP/BLK Ear Buds,1.0 out of 5 stars,"I got this item because Amazon's metadata said that it was a newer version of my MDRE10LP headphones that are finally wearing out after 3 years.

If this is the new one, they need to scrap the design and start over. The audio quality is crap. By comparison it is like listening to mono vs stereo. No base, mid is too high, and the treble sounds like it's coming through a can.",MDRE9LP
,Comments,Date,Product,Ratings,Reviews,Title
0,One person found this helpful. Was this review helpful to you?, February 22 2015,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,work and sound fine. only problem is the foam pads always fall off and the ear piece does not stay in the ears without them.,good sounding ear buds
1,Was this review helpful to you?, August 12 2015,Sony MDRE9LP/BLK Ear Buds,2.0 out of 5 stars,"The sound quality sucks, put these in your pockets routinely and you'll have to spend minutes untangling them ( which is really annoying)
Don't waste your money on these they suck",Whack headphones save your money and buy the in ear ones
2,Was this review helpful to you?, January 21 2017,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"Great sound and great product for such a low price, highly recommend!",Five Stars
3,Was this review helpful to you?, December 23 2016,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,Good quality,Five Stars
4,Was this review helpful to you?, April 13 2016,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,These are my favorite headphones. It fits and I've been buying them for years. Plus it last me for months. The longest time I've had a pair of these were about a year.,I love Sony headphones.
5,One person found this helpful. Was this review helpful to you?, September 5 2015,Sony MDRE9LP/BLK Ear Buds,2.0 out of 5 stars,Broke,Ummm...
6,Was this review helpful to you?, December 24 2012,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,The new design is cool looking. My wife uses them when she goes jogging. Good sound for the price. I would buy them again.,Great ear buds at a good price
7,Was this review helpful to you?, June 6 2014,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"I bought these instead of the Panasonic brand which stopped working in one ear after a while, and then in both ears. This was the second time I had bought Panasonic. I hope this brand does not give me trouble as well but I already appreciate the superior sound that it has!",These are better than the Panasonic brand!
