,Comments,Date,Product,Ratings,Reviews,Title
8,Was this review helpful to you?, February 11 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,"I have had these since Christmas and I can tell you, you wont be disappointed. I have used primarily for movies and video games. I work nights so the nights Im off I usually stay up late and don't want to wake the family with machine gun fire from my video games and movies. I plug directly into my receiver and Im amazed. Strong bass but not overpowering, the mids and high are fantastic. Music sounds great as well but my opinion its movies that really show off there potential. Would buy again in a heartbeat. Do your research Sony if you want great sound Beats if you want a B on the side of your ear.",Would Buy again in a heartbeat
9,12 people found this helpful. Was this review helpful to you?, December 22 2014,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),2.0 out of 5 stars,"It's hard to complain about a $20 pair of headphones but these are supposed to have ""extra bass"". They don't, in fact I think they may have less bass than any other headphones I've ever owned. These aren't the worse over ear headphones in the world, in fact they're not terrible, but if you're expecting the ""extra bass"" in the headline you'll be disappointed.","""Extra bass""? As in the fish, because it's not the audio, that's for sure…"
,Comments,Date,Product,Ratings,Reviews,Title
0,Was this review helpful to you?, September 1 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),1.0 out of 5 stars,"mic did not work at all. was the sole purpose I bought this product...it's made my sony too...sad that the product doesn't work, not even for a day!",sad that the product doesn't work
1,Was this review helpful to you?, May 30 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,"I bought these as a gift and my granddaughter loves them, wears them whenever she is on the computer",Five Stars
2,Was this review helpful to you?, June 6 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),4.0 out of 5 stars,good quality for the price point.,Four Stars
3,Was this review helpful to you?, February 17 2017,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,as described. love it,love
4,Was this review helpful to you?, September 6 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,Pretty good headphones for the price. The sound qaulity is good wish it had a little more bass.,Nice headphones
5,Was this review helpful to you?, July 23 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,Works as advertised.,Five Stars
6,Was this review helpful to you?, September 17 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,love it,Five Stars
7,Was this review helpful to you?, November 22 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,thanks,Five Stars
8,Was this review helpful to you?, March 17 2018,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,I like product and delivery was in time,Good Product and in time delivery
9,Was this review helpful to you?, November 18 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),2.0 out of 5 stars,Uncomfortable to ears. Don't recommend unless you have larger ears perhaps/,Don't recommend unless you have larger ears perhaps/
,Comments,Date,Product,Ratings,Reviews,Title
0,Was this review helpful to you?, July 25 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),4.0 out of 5 stars,"Sound is good for $10. I prefer the cups to go over my ears, but these do fold up quite nice so I guess that's the trade off.",Good sound in small form factor.
1,Was this review helpful to you?, January 22 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),3.0 out of 5 stars,"Not a huge fan of these. They quit working after about 2 months.

The wire seems to short out on these pretty easily.

There are better headphones at this price range.",Look elsewhere
2,Was this review helpful to you?, March 10 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),4.0 out of 5 stars,"Not bad. It is what it is - a rather restraining, and controlled design. Its output volume is clearly suppressed. If you listen to classic rock or alternative, this is perfect. But if you want high output and ear drum tearing base, this is not for you. I doubt if this is good for jazz either because it's just not dynamic enough.",Not bad. It is what it is - a rather ...
3,Was this review helpful to you?, July 26 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,Love these headphones. They even fold up for easy storage. I've had them for 2 months and they still work perfect.,Great headphones
4,Was this review helpful to you?, February 19 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),3.0 out of 5 stars,"It's a okay product, but not as comfortable as I expected.",Just okay
5,Was this review helpful to you?, November 11 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,"I love these headphones! They fit comfortably around the ears and block out most background noise. The length of the cord is great as well, as it gives you room to move around without getting pulled off.",Love them!
6,Was this review helpful to you?, September 27 2017,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,great product still using it today!!!,Five Stars
7,Was this review helpful to you?, February 3 2018,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),2.0 out of 5 stars,"terrible quality, stop working in 2 weeks",Two Stars
8,Was this review helpful to you?, September 2 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,Holy glorious sound! Great quality sound and materials. I use these for everything.,Great quality sound and materials
9,Was this review helpful to you?, June 19 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,Good sound quality. Comfortable fit. Not expensive. What more could you ask?,Good headphones.
,Comments,Date,Product,Ratings,Reviews,Title
0,Was this review helpful to you?, August 22 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),1.0 out of 5 stars,Use to use these for the gym. Very disappointed after one side stopped working after about a week and a half. One of those thing I wish I wouldn't have gone cheap on.,Very disappointed after one side stopped working after about a week ...
1,Was this review helpful to you?, September 20 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,Nice fit for me. Good clarity; crisp audio. Minimalistic packaging. Great value.,A Good Choice
2,Was this review helpful to you?, July 15 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),3.0 out of 5 stars,for the money its OK,Three Stars
3,Was this review helpful to you?, March 12 2017,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),4.0 out of 5 stars,Love it. Still doing well.,Four Stars
4,Was this review helpful to you?, May 12 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,outstanding for government use,Five Stars
5,Was this review helpful to you?, September 16 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,"i am very pleased with these headphones. I purchased them before I took an overseas flight, and they were comfortable enough to use for long periods of time. The sound quality was good, and I really like the compactness - easy to fold up and store. For the price, it was a great buy.",Great headphones!
6,Was this review helpful to you?, July 23 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),4.0 out of 5 stars,"I use these at work and they work well. They are light, don't hurt my ears and sound great. Can't beat the price!!","They are light, don't hurt my ears and sound great!!!"
7,Was this review helpful to you?, April 4 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),3.0 out of 5 stars,"The material is a little cheap, and the noise is not amazing however it serves its purpose and it works very well at a reasonable price. It adjusts nicely on my head and doesn't easily fall off. I would definitely get myself another one after mine breaks. Good product!",You get what you pay for
8,Was this review helpful to you?, June 22 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,Great product I always buy this brand and model. Each headset has lasted for years. Great sound.,Five Stars
9,Was this review helpful to you?, January 20 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),3.0 out of 5 stars,"The recipient of this item said the quality was okay, but not for use with an electric piano and it made the sound tinny.",The recipient of this item said the quality was okay ...
,Comments,Date,Product,Ratings,Reviews,Title
0,Was this review helpful to you?, October 7 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,Great pair of headphones. Sounds good but I'm not really a musician or an audiophile. It's neutral really.,Neutral sounding good price
1,Was this review helpful to you?, December 28 2017,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,They are comfortable and the sound is excellent. Excellent quality and the price can't be beat.,Five Stars
2,Was this review helpful to you?, December 15 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,"I've only had them for a few weeks, but they were a good price and fit my kindergarteners heads perfectly. They were so excited to get new headphones for our computers!",but they were a good price and fit my kindergarteners heads perfectly
3,Was this review helpful to you?, June 11 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,"For such a small price, you get big sound. They fold up nicely and are comfy to wear. I love them!",They fold up nicely and are comfy to wear
4,Was this review helpful to you?, June 21 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,very happy with my purchase,Five Stars
5,Was this review helpful to you?, May 31 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,Very comfortable headphones,Five Stars
6,Was this review helpful to you?, July 1 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),2.0 out of 5 stars,"Not good. Not comfortable, Philips SHL3060PP/27 Philips SHL3060PP/27 DJ Style Headphones is much more useful for me, in terms of comfort and it is also noise cancelling and perfect for use on an airplane etc.",Not comfortable
7,One person found this helpful. Was this review helpful to you?, September 29 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,"It came on time, works fine, good quality, fits well, and very usefull... the mic works just fine!!","works fine, good quality"
8,Was this review helpful to you?, May 16 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,I use these headphones every day. They are the first I've found - regardless of price - that don't break contact somewhere along the wires. Why did I buy another pair? The plastic covering the foam has begun to tear.,Great value
9,Was this review helpful to you?, December 26 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),4.0 out of 5 stars,"Good headset, good bass and comfortable enough to wear all workday.",Good headset by Sony
